"subject","md5.hash","item.number","element.number","Parte","Condition","Predicate","Valence","Exemplars","Left","Right","sentence","answer","rt","pilot","img_answer","Both","C","D","APBLUR","Foil"
"1491158110","0432dda45421f33292dc367ca27a1690",2,0,"OVERT",NA,NA,NA,NA,NA,NA,"The bags are heavy.","Left",3170,"AP-OVERT",NA,NA,NA,NA,NA,NA
"1491158110","0432dda45421f33292dc367ca27a1690",38,0,"AP","Both","heavy/light","neg","books","AP","Both","The books are light.","Right",4271,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",27,0,"AP","D","expensive/cheap","neg","cars","D","AP","The cars are cheap.","Right",3210,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",20,0,"AP","Both","heavy/light","pos","books","AP","Both","The books are heavy.","Right",2320,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",10,0,"AP","C","expensive/cheap","pos","watches","AP","C","The watches are expensive.","Left",4770,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",22,0,"AP","D","loud/quiet","neg","instruments","AP","D","The instruments are quiet.","Left",6240,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",12,0,"AP","Foil","expensive/cheap","pos","watches","AP","Foil","The watches are expensive.","Left",2264,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",5,0,"AP","Foil","loud/quiet","pos","birds","Foil","AP","The birds are loud.","Right",2474,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",16,0,"AP","C","heavy/light","pos","books","AP","C","The books are heavy.","Left",3339,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",24,0,"AP","Foil","loud/quiet","neg","instruments","AP","Foil","The instruments are quiet.","Left",2234,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",15,0,"AP","C","heavy/light","pos","bags","C","AP","The bags are heavy.","Left",4581,"AP-OVERT","C",FALSE,TRUE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",31,0,"AP","Both","expensive/cheap","neg","cars","Both","AP","The cars are cheap.","Left",1807,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",30,0,"AP","Foil","expensive/cheap","neg","watches","AP","Foil","The watches are cheap.","Left",2377,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",19,0,"AP","Both","heavy/light","pos","bags","Both","AP","The bags are heavy.","Left",2185,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",17,0,"AP","Foil","heavy/light","pos","bags","Foil","AP","The bags are heavy.","Right",4044,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",28,0,"AP","D","expensive/cheap","neg","watches","AP","D","The watches are cheap.","Right",5209,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",3,0,"AP","C","loud/quiet","pos","birds","C","AP","The birds are loud.","Right",3897,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",32,0,"AP","Both","expensive/cheap","neg","watches","AP","Both","The watches are cheap.","Right",1854,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",13,0,"AP","Both","expensive/cheap","pos","cars","Both","AP","The cars are expensive.","Left",15395,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",9,0,"AP","C","expensive/cheap","pos","cars","C","AP","The cars are expensive.","Right",2150,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",26,0,"AP","Both","loud/quiet","neg","instruments","AP","Both","The instruments are quiet.","Right",3057,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",33,0,"AP","D","heavy/light","neg","bags","D","AP","The bags are light.","Right",2094,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",18,0,"AP","Foil","heavy/light","pos","books","AP","Foil","The books are heavy.","Left",2189,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",35,0,"AP","Foil","heavy/light","neg","bags","Foil","AP","The bags are light.","Right",2033,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",14,0,"AP","Both","expensive/cheap","pos","watches","AP","Both","The watches are expensive.","Right",1870,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",8,0,"AP","Both","loud/quiet","pos","instruments","AP","Both","The instruments are loud.","Right",9304,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",25,0,"AP","Both","loud/quiet","neg","birds","Both","AP","The birds are quiet.","Left",2159,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",37,0,"AP","Both","heavy/light","neg","bags","Both","AP","The bags are light.","Left",1727,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",23,0,"AP","Foil","loud/quiet","neg","birds","Foil","AP","The birds are quiet.","Right",1742,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",34,0,"AP","D","heavy/light","neg","books","AP","D","The books are light.","Left",2428,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",21,0,"AP","D","loud/quiet","neg","birds","D","AP","The birds are quiet.","Right",2618,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",36,0,"AP","Foil","heavy/light","neg","books","AP","Foil","The books are light.","Left",1633,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",7,0,"AP","Both","loud/quiet","pos","birds","Both","AP","The birds are loud.","Left",1909,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",6,0,"AP","Foil","loud/quiet","pos","instruments","AP","Foil","The instruments are loud.","Left",1595,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",29,0,"AP","Foil","expensive/cheap","neg","cars","Foil","AP","The cars are cheap.","Right",1494,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",11,0,"AP","Foil","expensive/cheap","pos","cars","Foil","AP","The cars are expensive.","Right",2684,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",4,0,"AP","C","loud/quiet","pos","instruments","AP","C","The instruments are loud.","Left",2320,"AP-OVERT","AP",FALSE,FALSE,FALSE,TRUE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",58,0,"OVERT","Both-Foil","loud/quiet","neg","birds","Both","Foil","The birds are quiet.","Left",3392,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",61,0,"OVERT","D-Both","loud/quiet","neg","instruments","Both","D","The instruments are quiet.","Right",4773,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",75,0,"OVERT","D-Foil","heavy/light","neg","books","Foil","D","The books are light.","Right",2956,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",50,0,"OVERT","C-Foil","expensive/cheap","pos","cars","C","Foil","The cars are expensive.","Left",4221,"AP-OVERT","C",FALSE,TRUE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",42,0,"OVERT","C-Both","loud/quiet","pos","birds","C","Both","The birds are loud.","Right",2932,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",60,0,"OVERT","D-Both","loud/quiet","neg","birds","D","Both","The birds are quiet.","Left",1688,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",59,0,"OVERT","Both-Foil","loud/quiet","neg","instruments","Foil","Both","The instruments are quiet.","Right",1728,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",67,0,"OVERT","D-Both","expensive/cheap","neg","watches","Both","D","The watches are cheap.","Right",3405,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",65,0,"OVERT","Both-Foil","expensive/cheap","neg","watches","Foil","Both","The watches are cheap.","Right",3170,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",55,0,"OVERT","C-Both","heavy/light","pos","books","Both","C","The books are heavy.","Left",4890,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",57,0,"OVERT","C-Foil","heavy/light","pos","books","Foil","C","The books are heavy.","Right",2245,"AP-OVERT","C",FALSE,TRUE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",49,0,"OVERT","C-Both","expensive/cheap","pos","watches","Both","C","The watches are expensive.","Right",3276,"AP-OVERT","C",FALSE,TRUE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",72,0,"OVERT","D-Both","heavy/light","neg","bags","D","Both","The bags are light.","Left",2360,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",40,0,"OVERT","Both-Foil","loud/quiet","pos","birds","Both","Foil","The birds are loud.","Left",1955,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",74,0,"OVERT","D-Foil","heavy/light","neg","bags","D","Foil","The bags are light.","Left",1858,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",63,0,"OVERT","D-Foil","loud/quiet","neg","instruments","Foil","D","The instruments are quiet.","Right",2568,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",62,0,"OVERT","D-Foil","loud/quiet","neg","birds","D","Foil","The birds are quiet.","Left",1655,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",69,0,"OVERT","D-Foil","expensive/cheap","neg","watches","Foil","D","The watches are cheap.","Right",1445,"AP-OVERT","D",FALSE,FALSE,TRUE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",53,0,"OVERT","Both-Foil","heavy/light","pos","books","Foil","Both","The books are heavy.","Right",1666,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",54,0,"OVERT","C-Both","heavy/light","pos","bags","C","Both","The bags are heavy.","Right",1497,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",47,0,"OVERT","Both-Foil","expensive/cheap","pos","watches","Foil","Both","The watches are expensive.","Right",1684,"AP-OVERT","Both",TRUE,FALSE,FALSE,FALSE,FALSE
"1491158110","0432dda45421f33292dc367ca27a1690",51,0,"OVERT","C-Foil","expensive/cheap","pos","watches","Foil","C","The watches are expensive.","Right",4365,"AP-OVERT","C",FALSE,TRUE,FALSE,FALSE,FALSE
